Term,Term Two,Definition,Closest MeSH term,Synonym 1,Synonym 2,Synonym 3,Abbreviation,UK Spelling,US Spelling,Noun Form of Word,Verb Form of Word,Adjective Form of Word,Adverb Form of Word,Commonly Associated Term 1,Commonly Associated Term 2,Commonly Associated Term 3,Commonly Associated Term 4,Commonly Associated Term 5,Commonly Associated Term 6,Commonly Associated Term 7,Commonly Associated Term 8
Histology,,"The microscopic study of tissues, including the structure of neural tissue such as neurons, glia, and blood vessels.",Histology,,,,,,,histology,,histological,histologically,tissue,microscopy,neuron,glia,neural tissue,staining,,
Homeostasis,,"The regulation of internal conditions to maintain a stable physiological state. The hypothalamus plays a key role in regulating temperature, hunger, and other homeostatic processes.",Homeostasis,,,,,,,homeostasis,,homeostatic,homeostatically,hypothalamus,regulation,physiological state,temperature regulation,hunger,thirst,autonomic nervous system,negative feedback
Homunculus,,"A distorted representation of the human body based on the relative amount of cortex devoted to each body part, especially in the somatosensory and motor areas.",,cortical homunculus,sensory homunculus,motor homunculus,,,,homunculus,,,,somatosensory cortex,motor cortex,cortical representation,body map,somatotopy,Penfield,,
Horizontal cell,,"A type of retinal interneuron that connects photoreceptors and helps integrate and regulate input in the outer retina, contributing to contrast enhancement.",Retinal Horizontal Cells,,,,,,,,,,,retina,photoreceptor,interneuron,visual processing,contrast enhancement,lateral inhibition,outer retina,
Hormone,,"A signaling molecule released by glands that affects target cells in other parts of the body. Some hormones, like cortisol and estrogen, influence brain function and behavior.",Hormones,,,,,,,hormone,,hormonal,hormonally,endocrine system,gland,signaling,cortisol,estrogen,neuroendocrine,receptor,
HPA axis,Hypothalamic-Pituitary-Adrenal axis,"A major neuroendocrine system that controls stress response, digestion, mood, immune function, and energy usage through hormone release.",Hypothalamo-Hypophyseal System,Hypothalamic-Pituitary-Adrenal axis,,,HPA,,,,,,,stress response,cortisol,hypothalamus,pituitary gland,adrenal gland,neuroendocrine,ACTH,glucocorticoid
Huntington's disease,,"A genetic neurodegenerative disorder caused by a mutation in the HTT gene, leading to motor dysfunction, cognitive decline, and psychiatric symptoms. It involves degeneration of the basal ganglia.",Huntington Disease,,,,HD,,,,,,,basal ganglia,neurodegeneration,HTT gene,motor dysfunction,chorea,cognitive decline,CAG repeat,striatum
Hydrocephalus,,"A condition in which excess cerebrospinal fluid accumulates in the brain's ventricles, leading to increased intracranial pressure. It may result from developmental issues, trauma, or infection.",Hydrocephalus,,,,,,,hydrocephalus,,hydrocephalic,,cerebrospinal fluid,ventricle,intracranial pressure,brain,CSF,shunt,,
Hyperalgesia,,"Increased sensitivity to pain, often resulting from inflammation or damage to nociceptive pathways.",Hyperalgesia,,,,,,,hyperalgesia,,hyperalgesic,,pain,nociception,inflammation,sensitization,pain pathway,allodynia,,
Hyperpolarization,,"A change in a cell's membrane potential that makes it more negative, decreasing the likelihood of firing an action potential.",Membrane Potentials,,,,,,,hyperpolarization,hyperpolarize,,,membrane potential,action potential,inhibition,ion channel,resting potential,depolarization,,
Hypoglossal nerve,,A cranial nerve responsible for controlling the muscles of the tongue. Damage can cause slurred speech and difficulty swallowing.,Hypoglossal Nerve,cranial nerve XII,,,CN XII,,,,,,,cranial nerve,tongue,motor control,speech,swallowing,brainstem,,
Hypothalamus,,"A region of the brain below the thalamus that regulates homeostatic functions such as hunger, thirst, body temperature, and circadian rhythms. It controls the pituitary gland and links the nervous and endocrine systems.",Hypothalamus,,,,,,,hypothalamus,,hypothalamic,,homeostasis,pituitary gland,neuroendocrine,hunger,thirst,temperature regulation,circadian rhythm,autonomic control
Hydromyelia,,Hydromyelia is an abnormal widening of the spinal cord's central canal in which cerebrospinal fluid can build up and damage nerve cells and their connections.,Syringomyelia,,,,,,,,,,,,,,,,,,
Hypersomnia,,Hypersomnia is a medical term for excessive tiredness or sleepiness. It is different from feeling tired from lack of sleep at night and can result from an injury or problem in the brain.,Sleep Wake Disorders,,,,,,,,,,,,,,,,,,
Hypertonia,,Hypertonia is a medical term for too much muscle tone. It can make arms or legs stiff and difficult to move and often happens when part of the brain or spinal cord is damaged.,Muscle Hypertonia,,,,,,,,,,,,,,,,,,
Hypotonia,,"Hypotonia is a medical term for decreased muscle tone and can happen when the brain, spinal cord, nerves, or muscles are damaged.",Muscle Hypotonia,,,,,,,,,,,,,,,,,,
Iatrogenic,,"A condition unintentionally caused by medical treatment or diagnostic procedures. In neuroscience, may refer to nerve damage, seizures, or cognitive effects resulting from interventions.",Iatrogenic Disease,,,,,,,,,iatrogenic,iatrogenically,medical treatment,adverse effect,complication,intervention,diagnostic procedure,,,
Ictal,,"Relating to or occurring during a seizure or convulsion. Commonly used in the context of epilepsy, such as ""ictal phase"" versus ""postictal phase.""",,,,,,,,,,ictal,,seizure,epilepsy,convulsion,postictal,interictal,EEG,,
Imaging genetics,,A research field that combines brain imaging and genetics to investigate how genetic variation affects brain structure and function.,,,,,,,,,,,,brain imaging,genetics,genetic variation,fMRI,structural MRI,genomics,,
Immunohistochemistry,,A technique that uses antibodies to detect specific proteins or antigens in tissue sections. Frequently used to visualize neuronal and glial markers.,Immunohistochemistry,,,,IHC,,,,,,,antibody,protein,tissue,staining,neuronal marker,glial marker,,
Implicit memory,,"Unconscious memory of skills and procedures, such as riding a bike or playing an instrument. Associated with brain structures like the basal ganglia and cerebellum.",Memory,procedural memory,non-declarative memory,,,,,memory,,,,basal ganglia,cerebellum,skill learning,procedural learning,motor learning,habit,,
Incus,,One of the three auditory ossicles in the middle ear that transmits sound vibrations from the malleus to the stapes.,Incus,anvil,,,,,,,,,,auditory ossicle,middle ear,malleus,stapes,hearing,sound transmission,,
Independent component analysis,,A computational method used to separate mixed signals into independent sources. Commonly used in EEG and fMRI to identify distinct brain activity patterns.,,,,,ICA,,,,,,,EEG,fMRI,signal processing,computational method,brain activity,data analysis,,
Inferior colliculus,,"A midbrain structure involved in auditory processing, particularly sound localization and reflexive responses to sound stimuli.",Inferior Colliculi,,,,IC,,,,,,,midbrain,auditory processing,sound localization,auditory pathway,brainstem,auditory reflex,,
Inferior olive,,A brainstem nucleus that sends climbing fiber inputs to the cerebellum and plays a critical role in motor learning and coordination.,Olivary Nucleus,olivary nucleus,,,,,,,,,,cerebellum,climbing fiber,motor learning,brainstem,motor coordination,olivocerebellar,,
Inhibitory postsynaptic potential,,"A type of synaptic potential that makes a neuron less likely to fire an action potential, usually by allowing chloride or potassium ions to enter the cell.",Inhibitory Postsynaptic Potentials,,,,IPSP,,,potential,,,,synapse,inhibition,action potential,chloride,potassium,hyperpolarization,EPSP,
Innervation,,"The supply of nerves to a specific body part. In neuroscience, it describes how neurons connect to and control muscles, glands, or other neurons.",Nervous System,,,,,,,innervation,innervate,,,nerve,muscle,motor control,sensory input,neural connection,peripheral nerve,,
Input resistance,,A measure of how much a neuron's membrane resists incoming current. It influences how strongly the cell responds to synaptic inputs.,,membrane resistance,,,,,,resistance,,,,membrane,current,neuron,synaptic input,electrophysiology,passive properties,,
Insular cortex,,"A region buried within the lateral sulcus, involved in interoception, emotion, taste, and awareness of bodily states.",Cerebral Cortex,insula,,,,,,cortex,,insular,,interoception,emotion,taste,lateral sulcus,bodily awareness,gustatory cortex,pain,
Intelligence quotient,,"A standardized measure of cognitive ability. In neuroscience, research explores how brain structure and function relate to individual differences in IQ.",Intelligence,,,,IQ,,,,,,,cognitive ability,psychometrics,intelligence,brain structure,neuroimaging,cognition,,
Interneuron,,"A neuron that connects other neurons within a neural circuit, typically within the same brain region or spinal segment. Often inhibitory and essential for reflexes and signal modulation.",Interneurons,,,,,,,interneuron,,,,neural circuit,inhibition,reflex,GABAergic,local circuit,spinal cord,cortex,
Intracranial pressure,,"The pressure inside the skull, exerted by brain tissue, blood, and cerebrospinal fluid. Abnormal levels can cause headaches, vision problems, or brain damage.",Intracranial Pressure,,,,ICP,,,pressure,,intracranial,,skull,cerebrospinal fluid,brain,blood,hydrocephalus,brain injury,,
Intracellular recording,,"A technique used to measure the voltage or current inside a neuron, providing detailed information about membrane potential and ionic currents.",,whole-cell recording,sharp electrode recording,,,,,recording,record,,,electrophysiology,membrane potential,neuron,voltage,current,patch clamp,,
Ion channel,,A pore-forming membrane protein that allows ions to pass in and out of neurons. Ion channels are critical for generating and propagating electrical signals.,Ion Channels,,,,,,,channel,,,,membrane protein,ion,action potential,neuron,voltage-gated,ligand-gated,permeability,
Ionotropic receptor,,"A type of receptor that directly opens an ion channel upon neurotransmitter binding, allowing rapid synaptic transmission (e.g., NMDA receptor, AMPA receptor).","Receptors, Ionotropic Glutamate",ligand-gated ion channel,,,,,,receptor,,ionotropic,,ion channel,neurotransmitter,synaptic transmission,NMDA,AMPA,GABA-A,glutamate receptor,
Immunoglobulins,,Immunoglobulins are natural antibodies produced by the immune system.,Immunoglobulins,,,,,,,,,,,,,,,,,,
Inflammation,,"Inflammation is a condition in which tissues, organs, or other parts of the body become swollen, hot, or painful. Inflammation can be a reaction to an infection or injury. Inflammation in the brain or spinal cord can cause other problems.",Inflammation,,,,,,,,,,,,,,,,,,
Intravenous immunoglobulin,,Intravenous immunoglobulin (IVIg) is a common treatment for peripheral neuropathy caused by autoantibodies.,"Immunoglobulins, Intravenous",,,IVIg,,,,,,,,,,,,,,,
Jacksonian seizure,,"A focal seizure that begins in one part of the body (e.g., hand or face) and spreads progressively to adjacent body parts, following the organization of the motor cortex. Named after neurologist John Hughlings Jackson.","Epilepsies, Partial",focal motor seizure,Jacksonian march,,,,,seizure,,,,epilepsy,motor cortex,focal seizure,somatotopy,partial seizure,seizure progression,John Hughlings Jackson,
James-Lange theory,,"A theory of emotion proposing that emotions arise from the perception of physiological responses to stimuli, rather than the other way around. For example, we feel sad because we cry, rather than crying because we feel sad.",Emotions,,,,,,,,,,,emotion,physiological response,perception,autonomic response,William James,Carl Lange,theory of emotion,
Jaw jerk reflex,,A brainstem reflex in which tapping the chin causes contraction of the masseter muscle and elevation of the mandible. Used clinically to assess the function of cranial nerve V (trigeminal nerve) and brainstem integrity.,Reflex,mandibular reflex,masseter reflex,,,,,reflex,,,,trigeminal nerve,brainstem,cranial nerve V,masseter muscle,neurological examination,reflex testing,,
Jitter,,"A measure of variability in the timing of successive action potentials or synaptic transmission, often assessed in single-fiber electromyography (EMG). Increased jitter can indicate neuromuscular junction disorders.",,,,,,,,jitter,,,,electromyography,neuromuscular junction,action potential,synaptic transmission,EMG,variability,single-fiber EMG,
JNK pathway,JNK pathway,"The c-Jun N-terminal kinase pathway, a signaling cascade involved in cellular responses to stress, including apoptosis, inflammation, and cytokine production. Implicated in neurodegeneration and brain injury.",,c-Jun N-terminal kinase pathway,stress-activated protein kinase pathway,,JNK,,,,,,,apoptosis,cell signaling,stress response,neurodegeneration,inflammation,kinase,MAPK pathway,cytokine
Joubert syndrome,,"A rare genetic disorder characterized by abnormal development of the cerebellum and brainstem, leading to developmental delays, breathing abnormalities, abnormal eye movements, and ataxia. The 'molar tooth sign' on MRI is diagnostic.",Cerebellar Diseases,,,,,,,,,,,cerebellum,brainstem,ataxia,genetic disorder,developmental disorder,molar tooth sign,MRI,
Juxtacrine signaling,,"A type of cell-cell communication that requires direct contact between signaling and receiving cells, often through membrane-bound ligands and receptors. Important in neural development and synapse formation.",Cell Communication,contact-dependent signaling,,,,,,signaling,,,,cell signaling,cell communication,membrane receptor,neural development,synapse formation,ligand,cell contact,
Juxtarestiform body,,"A subdivision of the inferior cerebellar peduncle that carries vestibular afferents to the cerebellum, particularly to the flocculonodular lobe. Important for balance and eye movement coordination.",,,,,,,,,,,,cerebellum,inferior cerebellar peduncle,vestibular system,balance,eye movement,flocculonodular lobe,vestibular afferent,
Junctional complex,,"A structure at synapses or cell-cell junctions comprising multiple protein assemblies that maintain adhesion and communication. In neurons, includes tight junctions, adherens junctions, and gap junctions.",,cell junction,,,,,,,,,,synapse,tight junction,adherens junctions,gap junction,cell adhesion,neural junction,protein assembly,
K-complex,,"A large, slow wave seen in EEG during stage 2 of non-REM sleep. It is involved in memory consolidation and sensory processing during sleep.",Sleep Stages,,,,,,,,,,,EEG,non-REM sleep,sleep spindle,memory consolidation,sensory processing,stage 2 sleep,,
Kainate receptor,,A subtype of ionotropic glutamate receptor involved in fast excitatory synaptic transmission. Kainate receptors play roles in learning and are implicated in seizure disorders.,"Receptors, Kainic Acid",,,,,,,,,,,ionotropic glutamate receptor,excitatory synaptic transmission,learning,seizure,epilepsy,glutamate,neurotransmission,
Kallmann syndrome,,A genetic condition characterized by delayed or absent puberty and an impaired sense of smell. It results from disrupted migration of olfactory and gonadotropin-releasing hormone neurons.,Kallmann Syndrome,olfactogenital dysplasia,,,,,,,,,,hypogonadism,anosmia,GnRH neuron,olfactory neuron,neuronal migration,puberty,genetic disorder,
Karyokinesis,,"The process of nuclear division during cell division. In the context of developmental neuroscience, it describes how neural progenitor cells divide in the developing brain.",Mitosis,,,,,,,,,,,cell division,mitosis,neural progenitor cell,neurogenesis,brain development,,,
Karyotype,,"A visual profile of an organism's chromosomes. In neuroscience, used in research or diagnostics for identifying chromosomal abnormalities linked to neurodevelopmental disorders.",Mitosis,,,,,,,,,,,chromosome,genetic analysis,neurodevelopmental disorder,chromosomal abnormality,genetic testing,cytogenetics,,
Kelvin-Voigt model,,"A viscoelastic model used in computational neuroscience and biomechanics to describe tissue deformation, including brain tissue mechanics.",,,,,,,,,,,,viscoelasticity,biomechanics,computational neuroscience,brain tissue,tissue mechanics,deformation,mechanical modeling,
Keratitis,,"Inflammation of the cornea, which may be linked to neural dysfunction in the trigeminal nerve or autonomic nervous system regulation.",Keratitis,,,,,,,,,,,cornea,trigeminal nerve,autonomic nervous system,inflammation,ocular neurology,,,
Kinesthesia,,"The sense of limb and body movement, closely related to proprioception. It is mediated by mechanoreceptors in muscles and joints and processed in the somatosensory cortex.",Kinesthesis,,,,,,,,,kinesthetic,,proprioception,mechanoreceptor,somatosensory cortex,body movement,motor control,muscle spindle,joint receptor,
Kindling,,A process by which repeated sub-threshold electrical or chemical stimulation of the brain leads to progressively more intense seizures. Used as a model for epilepsy.,,,,,,,,,,,,epilepsy,seizure,neuroplasticity,excitability,temporal lobe epilepsy,animal model,neuronal sensitization,
Kleptomania,,A psychiatric disorder characterized by recurrent urges to steal items not needed for personal use or value. Considered in neuropsychiatry as a type of impulse control disorder involving frontal lobe dysfunction.,"Disruptive, Impulse Control, and Conduct Disorders",,,,,,,,,,,impulse control disorder,frontal lobe,compulsive behavior,neuropsychiatry,behavioral disorder,prefrontal cortex,,
Kluver-Bucy syndrome,,"A behavioral disorder caused by bilateral lesions of the amygdala and temporal lobes, resulting in hyperorality, hypersexuality, and emotional blunting.","Disruptive, Impulse Control, and Conduct Disorders",,,,,,,,,,,amygdala,temporal lobe,hyperorality,hypersexuality,emotional blunting,bilateral lesion,behavioral syndrome,
Knock-in,,"A genetic technique where a gene is replaced or inserted at a specific locus, allowing researchers to study the function of specific mutations in neural systems.",,gene knock-in,targeted insertion,,,,,,,,,gene targeting,genetic engineering,mutation,transgenic model,molecular neuroscience,genome editing,,
Knockout mouse,,A genetically engineered mouse in which one or more genes have been turned off through targeted mutation. Frequently used to study gene function in brain development and behavior.,"Mice, Knockout",gene knockout mouse,,,,,,,,,,gene knockout,genetic engineering,transgenic mouse,animal model,gene function,neuroscience research,behavioral genetics,
Korsakoff syndrome,,"A chronic memory disorder caused by thiamine (vitamin B1) deficiency, most commonly due to chronic alcohol misuse. It involves degeneration of the mammillary bodies and medial thalamus.",Korsakoff Syndrome,Korsakoff psychosis,Wernicke-Korsakoff syndrome,,,,,,,,,thiamine deficiency,mammillary body,thalamus,amnesia,confabulation,alcoholism,memory disorder,anterograde amnesia
Krebs cycle,,"A key metabolic pathway that provides energy to neurons. Although a general biology term, it is critical in neuroscience for understanding brain metabolism and mitochondrial function.",Citric Acid Cycle,citric acid cycle,tricarboxylic acid cycle,,TCA,,,,,,,mitochondria,cellular respiration,metabolism,ATP production,energy metabolism,oxidative phosphorylation,neuronal metabolism,
Kymograph,,"An old device used to record changes in physiological activity over time, such as muscle contractions or nerve responses. Historically significant in neuroscience research.",,,,,TCA,,,,,,,physiological recording,muscle contraction,nerve response,historical instrument,electrophysiology,neurophysiology,,
Lamina,,"A layer of neurons in a neural structure. In the spinal cord and cerebral cortex, laminae are functionally and anatomically distinct.",,cortical layer,neural layer,,,,,lamina,,laminar,,spinal cord,cerebral cortex,layer,cytoarchitecture,gray matter,,,
Lateral geniculate nucleus,,A relay center in the thalamus that receives input from the retina and sends visual information to the visual cortex.,Geniculate Bodies,,,,LGN,,,,,,,thalamus,retina,visual cortex,visual pathway,vision,relay nucleus,,
Lateral inhibition,,A neural mechanism in which an excited neuron reduces the activity of its neighbors. Enhances contrast in sensory systems such as vision and touch.,Neural Inhibition,,,,,,,,,,,sensory processing,contrast enhancement,vision,touch,receptive field,surround inhibition,,
Lateral sulcus,,A deep groove in the cerebral cortex that separates the frontal lobe and parietal lobe from the temporal lobe.,Cerebral Cortex,Sylvian fissure,fissure of Sylvius,,,,,,,,,cerebral cortex,frontal lobe,parietal lobe,temporal lobe,sulcus,brain anatomy,,
Learning,,"A neurobiological process through which experience induces lasting changes in the nervous system, leading to the acquisition or modification of behavior, knowledge, or skills.",Learning,,,,,,,learning,learn,,,memory,synaptic plasticity,neural circuit,behavior,experience,knowledge acquisition,,
Lentiform nucleus,,"A structure within the basal ganglia composed of the putamen and globus pallidus, involved in motor control and learning.",Corpus Striatum,,,,,,,,,,,basal ganglia,putamen,globus pallidus,motor control,subcortical nuclei,,,
Lesion,,"Damage or abnormal change in brain tissue, caused by injury, stroke, disease, or surgery. Lesion studies are used to investigate brain function.",,brain lesion,,,,,,lesion,,,,brain damage,stroke,injury,neurological disorder,lesion study,,,
Levodopa,,A precursor to dopamine used in the treatment of Parkinson's disease. It crosses the blood-brain barrier and is converted to dopamine in the brain.,Levodopa,L-DOPA,,,,,,,,,,dopamine,Parkinson's disease,blood-brain barrier,neurotransmitter precursor,treatment,motor symptoms,,
Limbic system,,"A group of interconnected brain structures involved in emotion, motivation, memory, and olfaction. Includes the amygdala, hippocampus, and cingulate cortex.",Limbic System,,,,,,,,,limbic,,emotion,memory,amygdala,hippocampus,cingulate cortex,motivation,olfaction,
Lissencephaly,,"A rare brain malformation where the cerebral cortex lacks normal folds (gyri), leading to developmental delay and seizures.",Lissencephaly,smooth brain,,,,,,,,,,cerebral cortex,gyri,brain malformation,developmental delay,seizures,neuronal migration disorder,,
Long-term depression,,A long-lasting decrease in synaptic strength following low-frequency stimulation. Thought to be important in motor learning and memory pruning.,Long-Term Synaptic Depression,,,,LTD,,,,,,,synaptic plasticity,synaptic strength,motor learning,memory,low-frequency stimulation,cerebellar learning,,
Long-term memory,,Stored information retained for extended periods—from hours to years. Includes declarative (explicit) and non-declarative (implicit) forms.,"Memory, Long-Term",,,,LTM,,,,,,,memory,declarative memory,implicit memory,memory consolidation,hippocampus,storage,,
Long-term potentiation,,A long-lasting enhancement in signal transmission between two neurons that results from their synchronous activation. A major cellular mechanism underlying learning and memory.,Long-Term Potentiation,,,,LTP,,,,,,,synaptic plasticity,learning,memory,synaptic strength,NMDA receptor,hippocampus,Hebbian learning,
Low-threshold spikes,,"A burst of action potentials generated by the activation of low-threshold, T-type calcium channels in response to a small depolarization from a hyperpolarized membrane potential. Commonly observed in thalamic neurons, low-threshold spikes enable rhythmic firing and are important for sleep-related oscillations and sensory signal gating.",,,,,LTS,,,,,,,thalamus,calcium channels,action potential,membrane potential,sleep oscillations,rhythmic firing,sensory gating,
Lower motor neuron,,"A neuron that directly innervates skeletal muscle. Damage to these neurons causes flaccid paralysis, muscle atrophy, and loss of reflexes.",Motor Neurons,,,,LMN,,,,,,,skeletal muscle,spinal cord,flaccid paralysis,muscle atrophy,motor control,peripheral nervous system,,
LTP induction,,"The process of initiating long-term potentiation through specific patterns of synaptic stimulation, such as high-frequency tetanic stimulation.",,,,,,,,,,,,long-term potentiation,synaptic plasticity,tetanic stimulation,high-frequency stimulation,learning,memory formation,,
Lucid dreaming,,A state during which the dreamer is aware that they are dreaming and may be able to exert control over the dream. Associated with increased prefrontal cortex activity.,Dreams,,,,,,,,,,,sleep,REM sleep,prefrontal cortex,consciousness,dream control,metacognition,,
Luria-Nebraska Neuropsychological Battery,Luria-Nebraska Neuropsychological Battery,"A standardized test battery used to assess a wide range of cognitive and motor functions. Based on the work of Alexander Luria, it helps localize brain dysfunction.",Neuropsychological Tests,,,,LNNB,,,,,,,neuropsychological assessment,cognitive function,motor function,brain dysfunction,Alexander Luria,clinical assessment,,
Learning Disabilities,,"Learning disabilities are disorders that affect a person’s ability to understand, or use spoken or written language, do mathematical calculations, coordinate movements, or direct attention. Learning disabilities occur in very young children but may not be identified until the child reaches school age. The most common treatment is special education and assistive devices.",Learning Disorders,,,,,,,,,,,,,,,,,,
Lipidoses,,Lipidoses (also known as lipid storage disease or disorders) are a group of inherited metabolic disorders in which harmful amounts of lipids build up in the body.,Lipid Storage Diseases,Lipid storage disease,Lipid storage disorders,,,,,,,,,,,,,,,,
Lipids,,"Lipids are fatty materials in the body that include oils, fatty acids, waxes, and steroids (such as cholesterol and estrogen). They make up part of the cell membranes that help control what enters and leaves cells and help with storing energy, absorbing vitamins, and making hormones.",Lipids,,,,,,,,,,,,,,,,,,
Magnetic resonance imaging,,A non-invasive imaging technique that uses magnetic fields and radio waves to visualize detailed structures of the brain and other tissues.,Magnetic Resonance Imaging,,,,MRI,,,,,,,brain imaging,neuroimaging,magnetic field,radio waves,diagnostic imaging,non-invasive,fMRI,brain structure
Malleus,,One of the three auditory ossicles in the middle ear. It transmits sound vibrations from the eardrum to the incus.,Malleus,hammer,,,,,,,,,,auditory ossicle,middle ear,incus,stapes,eardrum,sound transmission,hearing,
Mammillary bodies,,Small round structures located in the hypothalamus involved in memory processing. Often damaged in Korsakoff syndrome.,Mammillary Bodies,,,,,,,,,mammillary,,hypothalamus,memory,Korsakoff syndrome,limbic system,fornix,memory processing,,
MAPK/ERK pathway,MAPKERK pathway,"A cellular signaling cascade involved in growth, differentiation, and survival. It plays roles in synaptic plasticity and neurodegeneration.",MAP Kinase Signaling System,mitogen-activated protein kinase pathway,extracellular signal-regulated kinase pathway,,MAPK/ERK,,,,,,,signal transduction,synaptic plasticity,cell growth,differentiation,neurodegeneration,protein kinase,cellular signaling,
Medial geniculate nucleus,,"A relay center in the thalamus for auditory information, sending signals from the inner ear to the auditory cortex.",Geniculate Bodies,,,,MGN,,,,,,,thalamus,auditory cortex,auditory pathway,hearing,sensory relay,inner ear,,
Medial longitudinal fasciculus,,"A bundle of nerve fibers in the brainstem involved in coordinating eye movements and head motion, especially during the vestibulo-ocular reflex.",Brain Stem,,,,MLF,,,,,,,brainstem,eye movement,vestibulo-ocular reflex,oculomotor control,gaze stabilization,nerve fibers,,
Medulla oblongata,,"The lower part of the brainstem, responsible for autonomic functions such as respiration, heart rate, and blood pressure.",Medulla Oblongata,medulla,,,,,,,,medullary,,brainstem,autonomic function,respiration,heart rate,blood pressure,cardiovascular control,respiratory control,
Melatonin,,A hormone produced by the pineal gland that regulates circadian rhythms and the sleep–wake cycle. Secretion is influenced by light exposure.,Melatonin,,,,,,,,,melatonergic,,pineal gland,circadian rhythm,sleep-wake cycle,sleep,hormone,light exposure,,
Memory,,"The mental capacity to encode, store, and retrieve information. Subtypes include working memory, short-term memory, and long-term memory.",Memory,,,,,,,,memorize,,,encoding,storage,retrieval,working memory,short-term memory,long-term memory,hippocampus,learning
Meninges,,"The three protective membranes—dura mater, arachnoid mater, and pia mater—that surround the brain and spinal cord.",Meninges,,,,,,,,,meningeal,,dura mater,arachnoid mater,pia mater,brain,spinal cord,protective membrane,meningitis,
Merkel cell,,"A mechanoreceptor found in the skin involved in the sense of touch, particularly pressure and texture. Communicates with sensory neurons.",Merkel Cells,,,,,,,,,,,mechanoreceptor,touch,skin,pressure,texture,sensory neuron,tactile perception,
Mesencephalon,,"Also known as the midbrain, this region of the brainstem is involved in motor control, vision, hearing, and alertness.",Mesencephalon,midbrain,,,,,,,,mesencephalic,,brainstem,motor control,vision,hearing,alertness,tectum,tegmentum,
Metabotropic receptor,,"A type of neurotransmitter receptor that activates a second messenger system via G-proteins, resulting in slower but longer-lasting cellular effects.","Receptors, Metabotropic Glutamate",G-protein coupled receptor,,,,,,,,metabotropic,,G-protein,second messenger,neurotransmitter,receptor,signal transduction,ionotropic receptor,,
Microelectrode,,A very fine electrode used to record the electrical activity of individual neurons.,Microelectrodes,,,,,,,,,,,electrode,electrophysiology,neuron,recording,action potential,single-unit recording,,
Microglia,,"The resident immune cells of the central nervous system, responsible for clearing debris, responding to injury, and regulating inflammation.",Microglia,,,,,,,,,microglial,,immune cells,central nervous system,inflammation,neuroinflammation,glia,phagocytosis,brain injury,
Middle ear,,"The air-filled space containing the auditory ossicles (malleus, incus, stapes) that transmit sound from the outer ear to the inner ear.","Ear, Middle",,,,,,,,,,,auditory ossicles,malleus,incus,stapes,sound transmission,hearing,eardrum,
Midbrain,,"A portion of the brainstem that includes structures such as the tectum and tegmentum. It plays roles in vision, hearing, motor control, and arousal.",Mesencephalon,mesencephalon,,,,,,,,,,brainstem,tectum,tegmentum,substantia nigra,motor control,vision,arousal,
Mismatch negativity,,An event-related potential detected via EEG that reflects automatic brain response to deviations in auditory stimuli. Used in studies of perception and schizophrenia.,"Evoked Potentials, Auditory",,,,MMN,,,,,,,event-related potential,EEG,auditory perception,schizophrenia,auditory processing,sensory memory,,
Mitochondria,,"Organelles responsible for energy production in cells. In neurons, they play critical roles in metabolism, calcium regulation, and apoptosis.",Mitochondria,,,,,,,,,mitochondrial,,energy production,ATP,metabolism,calcium regulation,apoptosis,oxidative phosphorylation,neuron,
Molecular layer,,"The outermost layer of the cerebellar cortex and cerebral cortex (in some regions), containing relatively few neurons and mostly dendrites, axons, and synapses.",Cerebellar Cortex,,,,,,,,,molecular,,cerebellar cortex,cerebral cortex,dendrites,axons,synapses,cortical layers,,
Monoamine oxidase,,"An enzyme that breaks down monoamine neurotransmitters such as dopamine, serotonin, and norepinephrine. Targeted by some antidepressants.",Monoamine Oxidase,,,,MAO,,,,,,,enzyme,monoamine,dopamine,serotonin,norepinephrine,MAO inhibitor,antidepressant,
Monosynaptic reflex,,"A reflex arc that involves only one synapse between a sensory neuron and a motor neuron, such as the knee-jerk (patellar) reflex.","Reflex, Monosynaptic",,,,,,,,,monosynaptic,,reflex arc,synapse,sensory neuron,motor neuron,knee-jerk reflex,patellar reflex,spinal reflex,
Mossy fiber,,"A type of excitatory input fiber found in the cerebellum (originating from spinal cord and brainstem nuclei, synapsing onto granule cells) and in the hippocampus (connecting dentate gyrus granule cells to CA3 pyramidal cells).","Mossy Fibers, Hippocampal",,,,,Mossy fibre,,,,,,cerebellum,granule cell,excitatory input,spinal cord,brainstem,hippocampus,,
Motor cortex,,"A region of the frontal lobe involved in planning, controlling, and executing voluntary movements.",Motor Cortex,,,,,,,,,,,frontal lobe,voluntary movement,primary motor cortex,motor control,premotor cortex,motor planning,corticospinal tract,
Motor neuron,,"A type of neuron that transmits signals from the central nervous system to muscles or glands, enabling movement and action.",Motor Neurons,motoneuron,,,,Motor neurone,,,,,,central nervous system,muscle,movement,neuromuscular junction,spinal cord,motor control,,
Motor unit,,A motor neuron and all the muscle fibers it innervates. Varies in size depending on the precision required by the muscle.,Neuromuscular Junction,,,,,,,,,,,motor neuron,muscle fiber,innervation,motor control,neuromuscular system,muscle contraction,,
MRI spectroscopy,,"A specialized MRI technique that measures concentrations of certain brain chemicals or metabolites, aiding in diagnosis of tumors and metabolic disorders.",Magnetic Resonance Spectroscopy,magnetic resonance spectroscopy,,,MRS,,,,,,,MRI,metabolites,brain chemistry,neuroimaging,brain tumor,metabolic disorder,,
